World Rank,Institution Name,Location,Score,Domain
273,University at Buffalo,USA,76.9,buffalo.edu
274,London School of Economics,United Kingdom,76.9,lse.ac.uk
275,Virginia Tech,USA,76.8,vt.edu
276,Huazhong University of Science and Technology,China,76.8,hust.edu.cn
277,Washington State University,USA,76.8,wsu.edu
278,Dalhousie University,Canada,76.8,dal.ca
279,University of York,United Kingdom,76.8,york.ac.uk
280,Autonomous University of Madrid,Spain,76.7,uam.es
281,University of Exeter,United Kingdom,76.7,exeter.ac.uk
282,University of South Carolina - Columbia,USA,76.7,sc.edu
283,University of Rome Tor Vergata,Italy,76.7,uniroma2.it
284,Delft University of Technology,Netherlands,76.7,tudelft.nl
285,University of Pisa,Italy,76.7,unipi.it
286,Kobe University,Japan,76.6,kobe-u.ac.jp
287,Leipzig University,Germany,76.6,uni-leipzig.de
288,University of Delaware,USA,76.6,udel.edu
289,Georgetown University,USA,76.6,georgetown.edu
290,University of Duisburg-Essen,Germany,76.6,uni-due.de
291,Ruhr University Bochum,Germany,76.6,ruhr-uni-bochum.de
292,University of Antwerp,Belgium,76.5,uantwerpen.be
293,University of Buenos Aires,Argentina,76.5,uba.ar
294,University of Düsseldorf,Germany,76.5,uni-duesseldorf.de
295,KAIST,South Korea,76.5,kaist.ac.kr
296,Sichuan University,China,76.5,scu.edu.cn
297,National Cheng Kung University,Taiwan,76.5,ncku.edu.tw
298,Federal University of Rio de Janeiro,Brazil,76.4,ufrj.br
299,University of Houston,USA,76.4,uh.edu
300,Harbin Institute of Technology,China,76.4,hit.edu.cn
301,University of Innsbruck,Austria,76.4,uibk.ac.at
302,Chinese Academy of Medical Sciences & Peking Union Medical College,China,76.4,cams.ac.cn
303,Waseda University,Japan,76.4,waseda.jp
304,University of Texas at Dallas,USA,76.3,utdallas.edu
305,National and Kapodistrian University of Athens,Greece,76.3,uoa.gr
306,University of Hawaii at Manoa,USA,76.3,manoa.hawaii.edu
307,University of Lorraine,France,76.3,univ-lorraine.fr
308,George Washington University,USA,76.3,gwu.edu
309,University of Otago,New Zealand,76.3,otago.ac.nz
310,Versailles Saint-Quentin-en-Yvelines University,France,76.2,uvsq.fr
311,Simon Fraser University,Canada,76.2,sfu.ca
312,Tongji University,China,76.2,tongji.edu.cn
313,University of Nebraska–Lincoln,USA,76.2,unl.edu
314,University of Perugia,Italy,76.2,unipg.it
315,Queen's University Belfast,United Kingdom,76.2,qub.ac.uk
316,University of Texas Health Science Center at San Antonio,USA,76.1,uthscsa.edu
317,University of Jena,Germany,76.1,uni-jena.de
318,University of Granada,Spain,76.1,ugr.es
319,South China University of Technology,China,76.1,scut.edu.cn
320,University of Dundee,United Kingdom,76.1,dundee.ac.uk
321,Vrije Universiteit Brussel,Belgium,76.1,vub.ac.be
322,George Mason University,USA,76.0,gmu.edu
323,King Abdulaziz University,Saudi Arabia,76.0,kau.edu.sa
324,Macquarie University,Australia,76.0,mq.edu.au
325,Pontifical Catholic University of Chile,Chile,76.0,uc.cl
326,University of Guelph,Canada,76.0,uoguelph.ca
327,University of Regensburg,Germany,76.0,uni-regensburg.de
328,Central South University,China,76.0,csu.edu.cn
329,Grenoble Institute of Technology,France,75.9,grenoble-inp.fr
330,Thomas Jefferson University,USA,75.9,jefferson.edu
331,Mines ParisTech,France,75.9,mines-paristech.fr
332,University of St Andrews,United Kingdom,75.9,st-andrews.ac.uk
333,Medical University of South Carolina,USA,75.9,musc.edu
334,Jilin University,China,75.9,jlu.edu.cn
335,Wuhan University,China,75.8,whu.edu.cn
336,Hanyang University,South Korea,75.8,hanyang.ac.kr
